Name,Price,Price/KG,URL
Blackberries 125g,6.49,$51.92 per 1 kg,https://www.aldi.com.au/product/000000000000380200
Blueberries 125g,4.49,$35.92 per 1 kg,https://www.aldi.com.au/product/000000000000380203
Blueberries 170g,2.99,$17.59 per 1 kg,https://www.aldi.com.au/product/000000000000380204
Blueberries 300g,4.99,$16.63 per 1 kg,https://www.aldi.com.au/product/000000000000380206
Broccoli Loose,1.36,$3.99 per 1 kg,https://www.aldi.com.au/product/000000000000380208
Broccolini Bunch,1.89,$1.89 per 1 each,https://www.aldi.com.au/product/000000000000380209
Brown Onions 1kg,2.99,$2.99 per 1 kg,https://www.aldi.com.au/product/000000000000380210
Brown Onions Loose,0.63,$3.49 per 1 kg,https://www.aldi.com.au/product/000000000000380212
Brushed Potatoes 3kg,5.99,$2.00 per 1 kg,https://www.aldi.com.au/product/000000000000380213
Brushed Potatoes Loose,0.7,$3.49 per 1 kg,https://www.aldi.com.au/product/000000000000380214
Brussels Sprouts 500g,4.49,$8.98 per 1 kg,https://www.aldi.com.au/product/000000000000380216
THE FRESH SALAD CO Butter Leaf Mix 120g,2.49,$20.75 per 1 kg,https://www.aldi.com.au/product/000000000000380218
Whole Butternut Pumpkins Loose,2.49,$2.49 per 1 kg,https://www.aldi.com.au/product/000000000000380219
Cabbage Half,2.99,$2.99 per 1 each,https://www.aldi.com.au/product/000000000000380220
Capsicums 750g,3.99,$5.32 per 1 kg,https://www.aldi.com.au/product/000000000000380224
Cara Cara Oranges 1kg,2.99,$2.99 per 1 kg,https://www.aldi.com.au/product/000000000000380225
Carrots 1kg,2.09,$2.09 per 1 kg,https://www.aldi.com.au/product/000000000000380228
Cauliflower Each,2.79,$2.79 per 1 each,https://www.aldi.com.au/product/000000000000380232
Cavendish Bananas Loose,0.72,$3.99 per 1 kg,https://www.aldi.com.au/product/000000000000380234
THE HERB GARDEN Cayenne Chillies 50g,2.99,$0.60 per 10 g,https://www.aldi.com.au/product/000000000000380235
Celery Bunch,2.49,$2.49 per 1 each,https://www.aldi.com.au/product/000000000000380236
Cherry Tomatoes 250g,2.99,$11.96 per 1 kg,https://www.aldi.com.au/product/000000000000380240
Cherry Truss Tomatoes 200g,3.29,$16.45 per 1 kg,https://www.aldi.com.au/product/000000000000380241
THE FRESH SALAD CO Chilli Lime Crunch Salad Kit 350g,4.99,$14.26 per 1 kg,https://www.aldi.com.au/product/000000000000380243
Cobbettes Corn 400g,4.99,$12.48 per 1 kg,https://www.aldi.com.au/product/000000000000380247
Cocktail Truss Tomatoes 250g,3.99,$15.96 per 1 kg,https://www.aldi.com.au/product/000000000000380248
THE FRESH SALAD CO Coleslaw 250g,1.99,$7.96 per 1 kg,https://www.aldi.com.au/product/000000000000380250
Continental Cucumber Each,1.99,$1.99 per 1 each,https://www.aldi.com.au/product/000000000000380251
THE HERB GARDEN Continental Parsley Bunch,2.99,$2.99 per 1 each,https://www.aldi.com.au/product/000000000000380252
THE HERB GARDEN Coriander Bunch,2.99,$2.99 per 1 each,https://www.aldi.com.au/product/000000000000380253
THE FRESH SALAD CO Crunchy Salad Kit 450g,3.49,$7.76 per 1 kg,https://www.aldi.com.au/product/000000000000380255
Cut Butternut Pumpkins Loose,2.3,$3.29 per 1 kg,https://www.aldi.com.au/product/000000000000380256
Cut Kent Pumpkins Loose,2.3,$3.29 per 1 kg,https://www.aldi.com.au/product/000000000000380258
Dragon Fruit Each,4.99,$4.99 per 1 each,https://www.aldi.com.au/product/000000000000380263
Duo Capsicums 375g,4.49,$11.97 per 1 kg,https://www.aldi.com.au/product/000000000000380264
Eggplant Loose,4.0,$7.99 per 1 kg,https://www.aldi.com.au/product/000000000000380265
