Name,Price,Price / KG,URL
Bertocchi Pan Size Bacon,,,https://www.woolworths.com.au/shop/productdetails/929063
Blue Harvest Natural Coffin Bay Oysters 6 pack,14.0,$2.33 / 1EA,https://www.woolworths.com.au/shop/productdetails/6000631
Barramundi Skin Off Fillets Bag & Bake Teriyaki Ginger,39.0,$39.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/859131
Norfolk Bay Marinated Prawns Natural 300g,9.8,$32.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/255298
North Coast Sydney Oysters Large 6 pack,10.0,$10.00 / 1EA,https://www.woolworths.com.au/shop/productdetails/756304
Thawed Imp Perch Nile Fillets Bag and Bake Teriyaki Ginger,17.0,$17.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/859285
North Coast Sydney Rock Oysters 12 pack,22.0,$1.83 / 1EA,https://www.woolworths.com.au/shop/productdetails/756174
Thawed Skinned Ling Fillets Bag & Bake Teriyaki Ginger,21.0,$21.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/859300
Woolworths Beef Diced 1kg,,,https://www.woolworths.com.au/shop/productdetails/784229
Woolworths Classic Crumb Parmigiana 4 pack,8.0,$11.43 / 1KG,https://www.woolworths.com.au/shop/productdetails/6026302
Agrios Bacon Wrapped Prawn Skewers Skewers 8 pack,,,https://www.woolworths.com.au/shop/productdetails/6003231
Seaport Australian Wild Caught Prawns Frozen Raw 1kg,,,https://www.woolworths.com.au/shop/productdetails/6000316
Agrios Chorizo & Prawn Skewers 250g,,,https://www.woolworths.com.au/shop/productdetails/6002838
Blue Harvest Coffin Bay Pacific Oysters Kilpatrick 6 pack,15.0,$2.50 / 1EA,https://www.woolworths.com.au/shop/productdetails/6000617
Fresh Ling Fillets Bag and Bake Teriyaki Ginger,36.0,$36.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/859283
Pacific Oysters Large 12 pack,,,https://www.woolworths.com.au/shop/productdetails/756058
Viking Platter Swedish Caviar 150g,6.0,$40.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/265616
Be Family Smokey BBQ Mini Beef Burrito 500g,,,https://www.woolworths.com.au/shop/productdetails/642646
Bertocchi Bacon Short Rindless 500g,,,https://www.woolworths.com.au/shop/productdetails/382774
Mures Soup Prawn Bisque 500mL,,,https://www.woolworths.com.au/shop/productdetails/325808
Thawed Large Cooked Australian Tiger Prawn 3kg,,,https://www.woolworths.com.au/shop/productdetails/422209
Thawed Medium Cooked Tiger Prawns 3kg,,,https://www.woolworths.com.au/shop/productdetails/422300
Woolworths Extra Large Cooked Australian Tiger Prawns Thawed,,,https://www.woolworths.com.au/shop/productdetails/777530
Woolworths Jumbo Cooked Tiger Prawns 3kg,,,https://www.woolworths.com.au/shop/productdetails/751476
Woolworths Tiger Prawn Thawed Medium Cooked Prepacked,,,https://www.woolworths.com.au/shop/productdetails/777623
Cavendish Bananas each,0.81,$0.81 / 1EA,https://www.woolworths.com.au/shop/productdetails/133211
Strawberries Punnet 250g,2.0,$8.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/144607
Gourmet Tomato each,0.76,$0.76 / 1EA,https://www.woolworths.com.au/shop/productdetails/134034
Fresh Pink Lady Apples each,1.03,$1.03 / 1EA,https://www.woolworths.com.au/shop/productdetails/105919
Hass Avocado each,1.7,$1.70 / 1EA,https://www.woolworths.com.au/shop/productdetails/120080
Potato White Washed each,0.85,$0.85 / 1EA,https://www.woolworths.com.au/shop/productdetails/208895
Onion Brown each,0.59,$0.59 / 1EA,https://www.woolworths.com.au/shop/productdetails/144329
Lebanese Cucumbers each,1.42,$1.42 / 1EA,https://www.woolworths.com.au/shop/productdetails/137130
Mandarin Amorette® Seedless each,0.59,$0.59 / 1EA,https://www.woolworths.com.au/shop/productdetails/829107
Red Capsicum each,1.23,$1.23 / 1EA,https://www.woolworths.com.au/shop/productdetails/135306
Fresh Broccoli each,1.49,$1.49 / 1EA,https://www.woolworths.com.au/shop/productdetails/134681
Eat Later Cavendish Bananas each,0.81,$0.81 / 1EA,https://www.woolworths.com.au/shop/productdetails/157649
Fresh Zucchini Green each,1.18,$1.18 / 1EA,https://www.woolworths.com.au/shop/productdetails/170225
Carrot Fresh each,0.35,$0.35 / 1EA,https://www.woolworths.com.au/shop/productdetails/135344
Sweet Potato Gold each,1.96,$1.96 / 1EA,https://www.woolworths.com.au/shop/productdetails/147071
Apple Royal Gala each,0.88,$0.88 / 1EA,https://www.woolworths.com.au/shop/productdetails/155003
Fresh Granny Smith Apples each,1.03,$1.03 / 1EA,https://www.woolworths.com.au/shop/productdetails/130935
Onion Red each,0.83,$0.83 / 1EA,https://www.woolworths.com.au/shop/productdetails/144497
Woolworths Qukes Baby Cucumbers Punnet 250g,3.0,$12.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/169067
Truss Tomatoes each,0.97,$0.97 / 1EA,https://www.woolworths.com.au/shop/productdetails/169438
Orange Navel each,1.16,$1.16 / 1EA,https://www.woolworths.com.au/shop/productdetails/259450
Woolworths Cherry Tomatoes Punnet 250g,3.5,$14.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/149620
Zespri SunGold Kiwifruit each,1.29,$1.29 / 1EA,https://www.woolworths.com.au/shop/productdetails/267084
Woolworths Australian Grown Carrots 1kg,1.7,$1.70 / 1KG,https://www.woolworths.com.au/shop/productdetails/135369
Iceberg Lettuce each,2.7,$2.70 / 1EA,https://www.woolworths.com.au/shop/productdetails/154340
Woolworths Broccolini Bunch each,3.0,$3.00 / 1EA,https://www.woolworths.com.au/shop/productdetails/187314
Lemon Fresh each,1.38,$1.38 / 1EA,https://www.woolworths.com.au/shop/productdetails/259514
Tomato Roma Red each,0.8,$0.80 / 1EA,https://www.woolworths.com.au/shop/productdetails/149864
Woolworths Continental Cucumbers each,3.2,$3.20 / 1EA,https://www.woolworths.com.au/shop/productdetails/137102
Woolworths Baby Leaf Spinach 120g,2.5,$20.83 / 1KG,https://www.woolworths.com.au/shop/productdetails/524322
Mandarin Delite Seedless each,0.47,$0.47 / 1EA,https://www.woolworths.com.au/shop/productdetails/731091
Kiwi Fruit Green each,1.51,$1.51 / 1EA,https://www.woolworths.com.au/shop/productdetails/267083
Mushrooms Cups Loose,11.5,$11.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/143109
Spring Onion Bunch each,2.8,$2.80 / 1EA,https://www.woolworths.com.au/shop/productdetails/147603
Fresh Packham Pear each,1.02,$1.02 / 1EA,https://www.woolworths.com.au/shop/productdetails/115330
Mandarin Afourer each,0.59,$0.59 / 1EA,https://www.woolworths.com.au/shop/productdetails/314075
Woolworths Onion Brown Bag 1kg,3.6,$3.60 / 1KG,https://www.woolworths.com.au/shop/productdetails/144336
Raspberries Punnet 125g,5.5,$44.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/165262
Corn Sweet each,1.7,$1.70 / 1EA,https://www.woolworths.com.au/shop/productdetails/149374
Mandarin Tangold Seedless each,0.64,$0.64 / 1EA,https://www.woolworths.com.au/shop/productdetails/651492
Bananas Kids 5 pack,3.5,$3.50 / 1EA,https://www.woolworths.com.au/shop/productdetails/106218
Woolworths Cos Hearts Lettuce 2 pack,3.5,$1.75 / 1EA,https://www.woolworths.com.au/shop/productdetails/141496
Lime Fresh each,1.61,$1.61 / 1EA,https://www.woolworths.com.au/shop/productdetails/245902
Garlic Head each,1.88,$1.88 / 1EA,https://www.woolworths.com.au/shop/productdetails/713429
The Odd Bunch Continental Cucumber each,2.5,$2.50 / 1EA,https://www.woolworths.com.au/shop/productdetails/829360
Beans Round,8.9,$8.90 / 1KG,https://www.woolworths.com.au/shop/productdetails/134072
Potato Red Washed each,0.85,$0.85 / 1EA,https://www.woolworths.com.au/shop/productdetails/111670
Woolworths Fresh Pink Lady Apples Punnet 1kg,5.9,$5.90 / 1KG,https://www.woolworths.com.au/shop/productdetails/310968
Woolworths Washed Potatoes Bag 2kg,7.9,$3.95 / 1KG,https://www.woolworths.com.au/shop/productdetails/262783
Ginger Fresh,29.0,$29.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/138082
Pumpkin Kent Cut each,1.4,$1.40 / 1EA,https://www.woolworths.com.au/shop/productdetails/143709
Woolworths Fresh Herb Coriander Bunch each,3.2,$3.20 / 1EA,https://www.woolworths.com.au/shop/productdetails/137091
Capsicum Green each,1.23,$1.23 / 1EA,https://www.woolworths.com.au/shop/productdetails/135156
Macro Organic Banana each,1.08,$1.08 / 1EA,https://www.woolworths.com.au/shop/productdetails/306510
Woolworths Iceberg Shredded Lettuce 200g,2.0,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/638009
Kanzi Apple each,1.31,$1.31 / 1EA,https://www.woolworths.com.au/shop/productdetails/381923
Potato Brushed each,0.98,$0.98 / 1EA,https://www.woolworths.com.au/shop/productdetails/246566
Woolworths Baby Leaf Spinach 280g,5.0,$17.86 / 1KG,https://www.woolworths.com.au/shop/productdetails/524336
Butternut Pumpkin Cut each,2.45,$2.45 / 1EA,https://www.woolworths.com.au/shop/productdetails/147197
Woolworths White Washed Baby Potatoes Bag 1kg,4.5,$4.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/385085
Celery Fresh Whole each,4.5,$4.50 / 1EA,https://www.woolworths.com.au/shop/productdetails/135918
Jazz Apple each,0.96,$0.96 / 1EA,https://www.woolworths.com.au/shop/productdetails/306343
The Odd Bunch Carrots 1.5kg,1.7,$1.13 / 1KG,https://www.woolworths.com.au/shop/productdetails/288440
Onion Shallot French each,0.65,$0.65 / 1EA,https://www.woolworths.com.au/shop/productdetails/189459
Woolworths White Cup Sliced Mushroom Punnet 200g,4.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/147981
Avocado Fresh 5 pack,4.5,$0.90 / 1EA,https://www.woolworths.com.au/shop/productdetails/594774
Woolworths Fresh Food Kids Mini Apples 5 pack,3.5,$0.70 / 1EA,https://www.woolworths.com.au/shop/productdetails/588064
Spud Lite Prepack Potato 1.5kg,6.0,$4.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/829357
Fresh Cauliflower Half each,2.25,$2.25 / 1EA,https://www.woolworths.com.au/shop/productdetails/135568
Red Cayenne Chilli (Medium) each,0.6,$0.60 / 1EA,https://www.woolworths.com.au/shop/productdetails/136510
Woolworths Baby Leaf Spinach 60g,2.0,$33.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/379515
Fresh Whole Cauliflower each,4.5,$4.50 / 1EA,https://www.woolworths.com.au/shop/productdetails/135552
Woolworths Fresh Continental Parsley Bunch each,3.2,$3.20 / 1EA,https://www.woolworths.com.au/shop/productdetails/144785
Woolworths Asparagus Green Bunch each,3.9,$3.90 / 1EA,https://www.woolworths.com.au/shop/productdetails/132538
Woolworths Navel Oranges Bag 3kg,6.9,$2.30 / 1KG,https://www.woolworths.com.au/shop/productdetails/254080
The Odd Bunch Lemon Prepacked 500g,3.1,$6.20 / 1KG,https://www.woolworths.com.au/shop/productdetails/830353
Woolworths Celery Sticks Punnet 300g,4.9,$16.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/745467
Bravo Apple Fresh each,1.21,$1.21 / 1EA,https://www.woolworths.com.au/shop/productdetails/625158
Mini-Roma Tomato Punnet 250g,3.9,$15.60 / 1KG,https://www.woolworths.com.au/shop/productdetails/166144
Woolworths Baby Carrots 500g,1.8,$3.60 / 1KG,https://www.woolworths.com.au/shop/productdetails/742824
The Odd Bunch Avocado Prepacked 1kg,5.0,$5.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/775369
Woolworths Sweet Solanato Tomato Punnet Punnet 200g,4.5,$22.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/727144
Woolworths Green Basil Bunch each,3.2,$3.20 / 1EA,https://www.woolworths.com.au/shop/productdetails/133621
Woolworths Baby Leaf Rocket 120g,2.5,$20.83 / 1KG,https://www.woolworths.com.au/shop/productdetails/54900
Woolworths Fresh Granny Smith Apples Punnet 1kg,5.9,$5.90 / 1KG,https://www.woolworths.com.au/shop/productdetails/310966
Mandarin Amorette 750g,4.5,$6.43 / 1KG,https://www.woolworths.com.au/shop/productdetails/283414
Banana Red Tipped each,1.06,$1.06 / 1EA,https://www.woolworths.com.au/shop/productdetails/180148
Woolworths Mushroom Sliced 500g,7.0,$14.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/89466
Woolworths Red Washed Potatoes Bag 2kg,6.0,$3.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/101638
Leek Fresh each,2.5,$2.50 / 1EA,https://www.woolworths.com.au/shop/productdetails/139645
Kensington Pride Mango each,3.9,$3.90 / 1EA,https://www.woolworths.com.au/shop/productdetails/139428
Woolworths Red Onions Bag 1kg,4.9,$4.90 / 1KG,https://www.woolworths.com.au/shop/productdetails/124751
Capsicum Yellow each,2.23,$2.23 / 1EA,https://www.woolworths.com.au/shop/productdetails/135324
Woolworths Royal Gala Apple Punnet 1kg,5.9,$5.90 / 1KG,https://www.woolworths.com.au/shop/productdetails/314012
White Seedless Grapes Bag Approx. 900g each,14.31,$14.31 / 1EA,https://www.woolworths.com.au/shop/productdetails/138801
The Odd Bunch Zucchini Prepacked 750g,3.5,$4.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/825869
Garlic Heads 3 pack,3.5,$1.17 / 1EA,https://www.woolworths.com.au/shop/productdetails/810795
Woolworths Snackable Snacking Carrot each,3.0,$12.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/85794
Banana Lady Finger each,1.44,$1.44 / 1EA,https://www.woolworths.com.au/shop/productdetails/133390
Fresh Eggplant each,3.17,$3.17 / 1EA,https://www.woolworths.com.au/shop/productdetails/137546
Woolworths Bird's Eye Chilli Hot each,0.14,$0.14 / 1EA,https://www.woolworths.com.au/shop/productdetails/136341
Woolworths Gold Sweet Potatoes Bag 1kg,4.9,$4.90 / 1KG,https://www.woolworths.com.au/shop/productdetails/156015
Woolworths Brown Onions Bag 2kg,4.5,$2.25 / 1KG,https://www.woolworths.com.au/shop/productdetails/144427
Perfection Petite Tomatoes Punnet 200g,,,https://www.woolworths.com.au/shop/productdetails/6010753
Woolworths Brushed Potatoes Bag 2kg,6.5,$3.25 / 1KG,https://www.woolworths.com.au/shop/productdetails/244637
Woolworths Mushrooms Cups Punnet 500g,7.0,$14.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/149963
Woolworths Kiwi Fruit Green 8 pack,7.9,$0.99 / 1EA,https://www.woolworths.com.au/shop/productdetails/760907
Woolworths Packham Pear Punnet 1kg,3.5,$3.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/310965
Woolworths Fresh Mint Bunch each,3.2,$3.20 / 1EA,https://www.woolworths.com.au/shop/productdetails/142948
Woolworths Baby Leaf Spinach & Rocket 120g,2.5,$20.83 / 1KG,https://www.woolworths.com.au/shop/productdetails/705439
Woolworths Tomato Truss Punnet 500g,4.9,$9.80 / 1KG,https://www.woolworths.com.au/shop/productdetails/196442
Woolworths Mixed Leaf Salad 200g,3.0,$15.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/714823
Woolworths Caesar Salad Kit 290g,5.5,$18.97 / 1KG,https://www.woolworths.com.au/shop/productdetails/233376
Green Cabbage Quarter each,2.1,$2.10 / 1EA,https://www.woolworths.com.au/shop/productdetails/134968
Woolworths Sweet & Juicy Mandarins 750g,4.5,$6.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/591940
Fresh Beurre Bosc Pear each,0.81,$0.81 / 1EA,https://www.woolworths.com.au/shop/productdetails/145111
Woolworths Finely Shredded Coleslaw 300g,3.0,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/315670
Woolworths Mushrooms Cups Punnet 200g,4.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/143304
Beetroot Loose each,1.95,$1.95 / 1EA,https://www.woolworths.com.au/shop/productdetails/185267
The Odd Bunch Pear Prepacked 1kg,2.4,$2.40 / 1KG,https://www.woolworths.com.au/shop/productdetails/800774
Zerella Fresh Zerella Fresh Spudlite Baby Potato Pack Bag 750g,3.5,$4.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/459369
The Odd Bunch Mandarin Prepacked 1kg,3.1,$3.10 / 1KG,https://www.woolworths.com.au/shop/productdetails/845671
Mulgowie Green Beans Cleaned & Cut 340g,5.9,$17.35 / 1KG,https://www.woolworths.com.au/shop/productdetails/730118
Woolworths Snow Peas Fresh Bag 250g,4.9,$19.60 / 1KG,https://www.woolworths.com.au/shop/productdetails/162931
Woolworths Gourmet Tomatoes Punnet 1kg,6.7,$6.70 / 1KG,https://www.woolworths.com.au/shop/productdetails/143730
Buk Choy Asian Greens each,2.9,$2.90 / 1EA,https://www.woolworths.com.au/shop/productdetails/134801
The Odd Bunch Apples Prepacked Punnet 1kg,3.9,$3.90 / 1KG,https://www.woolworths.com.au/shop/productdetails/800763
Fresh Green Cabbage Half each,4.25,$4.25 / 1EA,https://www.woolworths.com.au/shop/productdetails/134932
Fresh Rockmelon Whole each,4.9,$4.90 / 1EA,https://www.woolworths.com.au/shop/productdetails/139806
Pak Choy Baby Asian Greens each,2.9,$2.90 / 1EA,https://www.woolworths.com.au/shop/productdetails/154991
Delite Mandarin Seedless Bag 700g,4.5,$6.43 / 1KG,https://www.woolworths.com.au/shop/productdetails/509417
Woolworths Truss Cocktail Tomato Punnet 250g,4.5,$18.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/747009
Woolworths Asian Style Salad Kit 350g,5.5,$15.71 / 1KG,https://www.woolworths.com.au/shop/productdetails/743361
Woolworths Corn Cobbettes 425g,5.9,$13.88 / 1KG,https://www.woolworths.com.au/shop/productdetails/307315
Woolworths Iceberg Lettuce Mix 300g,3.0,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/447755
Fresh Rockmelon Half each,2.45,$2.45 / 1EA,https://www.woolworths.com.au/shop/productdetails/112533
Woolworths Corn Sweet 500g,4.5,$9.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/139897
Mushrooms Flat Large Loose,13.5,$13.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/145028
Pineapple Naturally Sweet Whole each,5.5,$5.50 / 1EA,https://www.woolworths.com.au/shop/productdetails/137534
Passionfruit Fresh each,,,https://www.woolworths.com.au/shop/productdetails/144795
Sumo Citrus each,2.69,$2.69 / 1EA,https://www.woolworths.com.au/shop/productdetails/384383
Woolworths Dill Fresh Herb 15g,3.2,$2.13 / 10G,https://www.woolworths.com.au/shop/productdetails/707365
Sungold Kiwifruit Punnet 500g,6.9,$13.80 / 1KG,https://www.woolworths.com.au/shop/productdetails/621085
Snow Peas,,,https://www.woolworths.com.au/shop/productdetails/145843
Jalapeno Chilli (Medium) each,1.01,$1.01 / 1EA,https://www.woolworths.com.au/shop/productdetails/126772
Woolworths Lettuce Butter 170g,4.0,$23.53 / 1KG,https://www.woolworths.com.au/shop/productdetails/847873
Aussie Sprouts Bean Sprouts 250g,2.5,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/133687
Strawberries 500g,4.0,$8.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/149276
Kale Fresh Bunch each,3.9,$3.90 / 1EA,https://www.woolworths.com.au/shop/productdetails/380338
Woolworths Roma Tomato Punnet 480g,5.9,$12.29 / 1KG,https://www.woolworths.com.au/shop/productdetails/760007
Woolworths Baby Leaf Rocket 60g,2.0,$33.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/380580
The Odd Bunch Capsicum Prepacked 1kg,3.9,$3.90 / 1KG,https://www.woolworths.com.au/shop/productdetails/825870
Woolworths Potato Mini Microwavable White Bag 500g,2.9,$5.80 / 1KG,https://www.woolworths.com.au/shop/productdetails/757488
Macro Organic Carrots 750g,3.3,$4.40 / 1KG,https://www.woolworths.com.au/shop/productdetails/117381
Woolworths Garlic Cloves 70g,2.9,$41.43 / 1KG,https://www.woolworths.com.au/shop/productdetails/253320
Woolworths 3 Colour Traffic Light Capsicums 3 pack,7.9,$2.63 / 1EA,https://www.woolworths.com.au/shop/productdetails/135947
Green Cayenne Chilli (Mild) each,0.6,$0.60 / 1EA,https://www.woolworths.com.au/shop/productdetails/106542
The Odd Bunch Lime Prepacked 500g,7.1,$14.20 / 1KG,https://www.woolworths.com.au/shop/productdetails/830354
Woolworths Classic Shredded Coleslaw 200g,,,https://www.woolworths.com.au/shop/productdetails/531041
Woolworths Lettuce Oakleaf Green each,3.5,$3.50 / 1EA,https://www.woolworths.com.au/shop/productdetails/119808
Woolworths Green Basil Punnet 15g,3.2,$2.13 / 10G,https://www.woolworths.com.au/shop/productdetails/707364
Mushroom Portobello Flat Large Loose,13.5,$13.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/124011
Woolworths Celery Heart each,4.5,$4.50 / 1EA,https://www.woolworths.com.au/shop/productdetails/748851
Woolworths Chives Fresh Herb Punnet 10g,3.2,$3.20 / 10G,https://www.woolworths.com.au/shop/productdetails/707374
Envy Apple each,1.21,$1.21 / 1EA,https://www.woolworths.com.au/shop/productdetails/761414
Fresh Red Cabbage Quarter each,2.1,$2.10 / 1EA,https://www.woolworths.com.au/shop/productdetails/127079
Just Veg. Carrot Sticks 300g,3.3,$11.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/921080
Woolworths Fresh Food Kids Mini Pears 5 pack,3.5,$0.70 / 1EA,https://www.woolworths.com.au/shop/productdetails/588302
Woolworths Thyme Fresh Herb Punnet 10g,3.2,$3.20 / 10G,https://www.woolworths.com.au/shop/productdetails/707367
Parsnip Fresh each,1.68,$1.68 / 1EA,https://www.woolworths.com.au/shop/productdetails/144793
Woolworths Brushed Potatoes Bag 4kg,9.0,$2.25 / 1KG,https://www.woolworths.com.au/shop/productdetails/124831
Passionfruit Panama each,1.5,$1.50 / 1EA,https://www.woolworths.com.au/shop/productdetails/144800
Perfection Mix-a-Mato Mini Tomatoes 320g,6.5,$20.31 / 1KG,https://www.woolworths.com.au/shop/productdetails/61078
The Odd Bunch Lebanese Cucumber Punnet 750g,4.7,$6.27 / 1KG,https://www.woolworths.com.au/shop/productdetails/24364
Woolworths Lower Carb Potatoes 1.5kg,5.5,$3.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/307538
Tomberry Tomatoes 125g,3.9,$31.20 / 1KG,https://www.woolworths.com.au/shop/productdetails/136258
Woolworths Crunchy Noodle Coleslaw Kit 520g,5.5,$10.58 / 1KG,https://www.woolworths.com.au/shop/productdetails/193753
Woolworths Mashing Potatoes Bag 1.5kg,7.0,$4.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/177574
Cara Cara Oranges Bag 1kg,3.9,$3.90 / 1KG,https://www.woolworths.com.au/shop/productdetails/767560
Fresh Chinese Cabbage Wombok Half each,2.45,$2.45 / 1EA,https://www.woolworths.com.au/shop/productdetails/170154
Woolworths Mushrooms Button Punnet 200g,4.5,$22.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/152608
Orange Navel 5 pack,4.9,$0.98 / 1EA,https://www.woolworths.com.au/shop/productdetails/751431
Kimaye Fresh Pomegranate Arils Punnet 75g,5.0,$66.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/6003626
Woolworths Sugar Snap Peas Bag 150g,4.7,$31.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/163783
Blackberries Punnet 125g,7.0,$56.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/296813
Woolworths Kale Slaw Kit 350g,5.5,$15.71 / 1KG,https://www.woolworths.com.au/shop/productdetails/705436
Woolworths Brussels Sprouts,9.9,$9.90 / 1KG,https://www.woolworths.com.au/shop/productdetails/134782
Woolworths Beanette Pre Pack Punnet 400g,3.9,$9.75 / 1KG,https://www.woolworths.com.au/shop/productdetails/105925
Woolworths Fresh Food Kids Mini Mandarins 5 pack,3.5,$0.70 / 1EA,https://www.woolworths.com.au/shop/productdetails/649090
Woolworths Greek Salad Kit 270g,5.5,$20.37 / 1KG,https://www.woolworths.com.au/shop/productdetails/159626
Just Veg. Carrot Shred 300g,3.3,$11.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/921142
Woolworths Mixed Leaf With Carrot 300g,5.0,$16.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/447762
Woolworths Red Seedless Grapes Bunch each,14.31,$14.31 / 1EA,https://www.woolworths.com.au/shop/productdetails/855246
Woolworths Mixed Leaf Salad 120g,2.0,$16.67 / 1KG,https://www.woolworths.com.au/shop/productdetails/827628
Woolworths Tomato Grape Punnet 200g,,,https://www.woolworths.com.au/shop/productdetails/143123
Woolworths Rosemary Fresh Herb Punnet 10g,3.2,$3.20 / 10G,https://www.woolworths.com.au/shop/productdetails/707370
Woolworths Classic Potato Mash 475g,7.1,$1.49 / 100G,https://www.woolworths.com.au/shop/productdetails/828744
Medjool Dates Punnet 450g,12.5,$27.78 / 1KG,https://www.woolworths.com.au/shop/productdetails/774695
Woolworths Gourmet Tomatoes Punnet 480g,5.9,$12.29 / 1KG,https://www.woolworths.com.au/shop/productdetails/759911
Fresh Butternut Pumpkin Whole each,6.3,$6.30 / 1EA,https://www.woolworths.com.au/shop/productdetails/147195
Woolworths Swiss Brown Mushrooms Punnet 200g,5.5,$27.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/149930
Naturally Sweet Pineapple Half each,2.75,$2.75 / 1EA,https://www.woolworths.com.au/shop/productdetails/143179
Fresh Kent Pumpkin Whole each,5.2,$5.20 / 1EA,https://www.woolworths.com.au/shop/productdetails/120037
Grapefruit Red Flesh each,1.29,$1.29 / 1EA,https://www.woolworths.com.au/shop/productdetails/259345
Woolworths Lettuce Baby Cos each,3.5,$3.50 / 1EA,https://www.woolworths.com.au/shop/productdetails/190092
Woolworths Chicken Caesar Salad Bowl 180g,5.9,$39.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/642106
Woolworths Diced Pumpkin & Sweet Potato 500g,5.0,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/30758
Lemon Bag 500g,5.5,$11.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/693501
Macro Certified Organic Baby Spinach 100g,4.5,$45.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/717237
Woolworths Fresh Parsley Bunch each,3.2,$3.20 / 1EA,https://www.woolworths.com.au/shop/productdetails/144784
Macro Organic Pink Lady Apple Punnet 1kg,6.9,$6.90 / 1KG,https://www.woolworths.com.au/shop/productdetails/160888
Woolworths Baby Red Washed Potato Bag 1kg,4.5,$4.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/385086
Woolworths Baby Buk Choy Asian Greens each,,,https://www.woolworths.com.au/shop/productdetails/135037
Fresh Corella Pear each,1.18,$1.18 / 1EA,https://www.woolworths.com.au/shop/productdetails/145182
Cabbage Red Half each,4.25,$4.25 / 1EA,https://www.woolworths.com.au/shop/productdetails/134986
Woolworths Baby Brussels Sprouts Punnet 300g,4.9,$16.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/179060
Woolworths Gourmet Leaf Mix 170g,4.0,$23.53 / 1KG,https://www.woolworths.com.au/shop/productdetails/210688
Tangelo Minneola each,0.98,$0.98 / 1EA,https://www.woolworths.com.au/shop/productdetails/262398
Woolworths American Style Slaw Kit 450g,4.5,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/702151
Woolworths Washed & Ready To Cook Pumpkin Cubes 500g,5.0,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/159072
Woolworths Whole Fresh Beetroot 250g,3.0,$12.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/780371
Woolworths COOK Stir Fry Mix Traditional Vegetables 400g,5.0,$12.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/139033
Fresh Green Nashi Pear each,2.04,$2.04 / 1EA,https://www.woolworths.com.au/shop/productdetails/145259
