Name,Price,Price / KG,URL
D'Orsogna Diced Bacon,20.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/71860
Macro Grass Fed Lean Beef Mince 500g,11.5,$23.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/236845
Woolworths RSPCA Approved Chicken Breast Diced 500g,8.87,$17.74 / 1KG,https://www.woolworths.com.au/shop/productdetails/353754
Woolworths Lamb Mince 500g,8.5,$17.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/582607
Chicken Schnitzel Crumbed each,3.0,$3.00 / 1EA,https://www.woolworths.com.au/shop/productdetails/351196
Macro Chicken Tenderloins Free Range 450g - 650g,13.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/700279
Woolworths 12 Chicken Kebabs Honey Soy 750g,11.5,$15.33 / 1KG,https://www.woolworths.com.au/shop/productdetails/907241
Ingham's Chicken Sliced Roll,16.0,$16.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/30936
Woolworths Health Smart Extra Lean Diced Beef 500g,12.0,$24.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/675482
Woolworths RSPCA Approved Chicken Mince 1kg,10.0,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/321099
Woolworths RSPCA Approved Chicken Thigh Cutlets,7.5,$7.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/354118
Woolworths Shortcut Bacon 500g,8.0,$16.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/55374
Woolworths 10 Herb & Garlic Beef Sausages 550g,6.5,$11.82 / 1KG,https://www.woolworths.com.au/shop/productdetails/901505
Don Melosi Leg Ham Shaved From The Deli,32.5,$32.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/6001529
Woolworths Beef Eye Fillet Steak 200g - 500g,28.5,$57.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/675315
Woolworths Salmon Portions Skin On 4 pack,17.5,$38.04 / 1KG,https://www.woolworths.com.au/shop/productdetails/157054
Woolworths RSPCA Approved Chicken Whole 1.8kg - 2.2kg,8.78,$3.99 / 1KG,https://www.woolworths.com.au/shop/productdetails/268603
Peppercorn Extra Lean Beef Burger 6 Pack 500g,8.5,$17.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/178137
Macro Grass Fed Beef Porterhouse Steaks 2 Pack 400g,22.0,$55.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/285094
Woolworths Aussie Beef Gluten Free Sausage Mince 500g,5.5,$11.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/109099
Woolworths 10 Honey Beef Sausages 550g,6.5,$11.82 / 1KG,https://www.woolworths.com.au/shop/productdetails/901506
Woolworths Creamy Garlic Stuffed Boneless Chicken Kyiv 700g,7.0,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/134032
Woolworths Corned Beef Silverside 1kg - 2.5kg,25.0,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/148345
Macro Chicken Mince Free Range 500g,9.0,$18.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/705461
Woolworths Green Banana Prawns Large Thawed,20.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/96995
Don Shredded Ham,21.0,$21.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/929865
Woolworths Lamb Leg Steak 540g,,,https://www.woolworths.com.au/shop/productdetails/827609
Woolworths RSPCA Approved Chicken Stirfry 500g,9.0,$18.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/2841
Moira Mac's Marinated BBQ Chicken Breast Sliced,29.5,$29.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/11303
Woolworths RSPCA Approved Chicken Breast Schnitzels 500g,10.5,$21.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/114253
Woolworths RSPCA Approved Chicken Kebab Honey Soy each,1.4,$1.40 / 1EA,https://www.woolworths.com.au/shop/productdetails/742211
Don Short Cut Rindless Bacon 200g,5.0,$25.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/220824
Woolworths Chicken Schnitzels 600g,9.0,$15.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/134041
Woolworths Cook Boneless Butterflied Chicken Greek Style 850g - 1.25kg,13.75,$11.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/935707
Woolworths Angus Beef & Caramelised Onion Sausages 450g,9.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/260669
Woolworths RSPCA Approved Chicken Tenderloins 600g,9.5,$15.83 / 1KG,https://www.woolworths.com.au/shop/productdetails/114258
Woolworths Beef Porterhouse Steak 180g,9.0,$50.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/317294
Woolworths Beef Rump Steak Medium 270g - 750g,21.75,$29.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/675318
Woolworths Salmon Portions Skin Off 4 pack,19.0,$41.30 / 1KG,https://www.woolworths.com.au/shop/productdetails/157055
Steggles Family Roast Whole Chicken 1.8kg - 2.5kg,17.5,$7.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/826675
Woolworths RSPCA Approved Chicken Necks,5.0,$5.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/617010
D'Orsogna Bacon Streaky 200g,8.0,$40.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/763087
Macro Chicken Thigh Fillets Free Range 450g - 550g,10.73,$19.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/184649
Woolworths 16 Beef Chipolatas 550g,6.5,$11.82 / 1KG,https://www.woolworths.com.au/shop/productdetails/901683
Woolworths Chicken Kyiv Garlic each,3.0,$3.00 / 1EA,https://www.woolworths.com.au/shop/productdetails/769243
Woolworths Middle Bacon 250g,4.2,$16.80 / 1KG,https://www.woolworths.com.au/shop/productdetails/266794
Woolworths 10 Pork Sausages 550g,6.5,$11.82 / 1KG,https://www.woolworths.com.au/shop/productdetails/901650
Woolworths 4 Classic Beef Burgers 500g,8.5,$17.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/899857
Primo Roast Beef Shaved From The Deli,37.0,$37.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/67329
Woolworths Classic Angus Beef Sausages 6 pack,9.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/357418
Woolworths 10 Chicken Sausages 550g,6.5,$11.82 / 1KG,https://www.woolworths.com.au/shop/productdetails/901682
Woolworths BBQ Lamb Kebabs With Mint & Honey 450g,8.5,$18.89 / 1KG,https://www.woolworths.com.au/shop/productdetails/733123
Macro Free Range Diced Chicken Breast 500g,11.5,$23.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/354066
Macro Chicken Wing Nibbles Free Range 600g - 800g,8.0,$10.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/700269
Woolworths Lamb Leg Roast Half 750g - 1.6kg,24.0,$15.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/764968
Woolworths Pork Shoulder Roast Boneless 1.3kg - 2.8kg,25.2,$9.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/764541
Primo Kransky Cheese From The Deli,18.5,$18.50 / 1KG,https://www.woolworths.com.au/shop/productdetails/217404
Woolworths RSPCA Approved Chicken Drumsticks 2kg,7.5,$3.75 / 1KG,https://www.woolworths.com.au/shop/productdetails/268605
Woolworths Scotch Fillet Pork 600g,12.0,$20.00 / 1KG,https://www.woolworths.com.au/shop/productdetails/675492
